session_id,num_of_clicks,Total_revenue,year,month,day,country_of_user,unique_categories,unique_product_models,colour_of_product,location_of_product,model_photography,price_above_avg,ratio_of_above_avg_price,page_number,purchased,date,day_of_week,is_weekend,is_end_of_month,week_num,session_duration_min,bounced,avg_time_per_click,category_1_clicks,category_2_clicks,category_3_clicks,category_4_clicks,first_category,category_switches,last_category,num_revisits,cluster_label
18,5,263,2008,4,1,9,1,5,2,3,2,1,0.4,2,0,2008-06-08,6,1,0,23,7.0,0,1.4,5,0,0,0,1,0,1,0.0,0
19,3,129,2008,4,1,29,2,3,2,2,2,1,0.6666666666666666,2,0,2008-04-21,0,0,0,17,3.0,0,1.0,1,0,2,0,3,2,3,0.0,0
20,2,71,2008,4,1,29,1,2,2,1,1,2,0.0,2,0,2008-07-28,0,0,0,31,1.0,0,0.5,2,0,0,0,1,0,1,0.0,0
21,5,214,2008,4,1,29,2,5,3,3,1,1,0.4,1,0,2008-06-13,4,0,0,24,4.0,0,0.8,0,3,2,0,2,1,3,0.0,0
22,3,138,2008,4,1,9,1,3,3,3,2,1,0.3333333333333333,2,0,2008-07-17,3,0,0,29,2.0,0,0.6666666666666666,3,0,0,0,1,0,1,0.0,0
23,1,33,2008,4,1,29,1,1,1,1,1,2,0.0,1,1,2008-07-25,4,0,0,30,0.0,0,0.0,0,0,0,1,4,0,4,0.0,0
24,5,199,2008,4,1,29,3,5,3,4,1,1,0.4,2,1,2008-04-22,1,0,0,17,4.0,0,0.8,0,3,1,1,2,3,3,0.0,0
25,1,38,2008,4,1,9,1,1,1,1,1,2,0.0,1,0,2008-06-11,2,0,0,24,0.0,1,0.0,0,1,0,0,2,0,2,0.0,0
26,2,100,2008,4,1,29,1,2,1,1,1,1,0.5,1,0,2008-05-31,5,1,0,22,1.0,0,0.5,2,0,0,0,1,0,1,0.0,0
27,5,234,2008,4,1,9,3,5,4,4,2,1,0.8,1,0,2008-04-22,1,0,0,17,4.0,0,0.8,1,1,3,0,3,3,3,0.0,0
28,4,194,2008,4,1,29,3,4,3,3,2,1,0.5,1,1,2008-05-16,4,0,0,20,5.0,0,1.25,2,0,1,1,4,2,1,0.0,0
29,3,133,2008,4,1,29,1,3,2,3,1,1,0.3333333333333333,1,0,2008-05-29,3,0,0,22,2.0,0,0.6666666666666666,3,0,0,0,1,0,1,0.0,0
30,10,404,2008,4,1,29,3,10,6,5,2,1,0.2,3,0,2008-04-05,5,1,0,14,10.0,0,1.0,4,2,4,0,1,7,1,0.0,0
31,9,393,2008,4,1,29,3,7,6,4,2,1,0.5555555555555556,3,0,2008-07-27,6,1,0,30,11.0,0,1.2222222222222223,1,4,4,0,3,5,2,2.0,0
32,3,114,2008,4,1,29,2,3,3,2,2,2,0.0,2,1,2008-07-21,0,0,0,30,2.0,0,0.6666666666666666,2,0,0,1,1,2,1,0.0,0
33,16,680,2008,4,1,29,3,15,7,6,2,1,0.5,4,1,2008-05-29,3,0,0,22,20.0,0,1.25,5,1,0,10,4,8,4,1.0,1
34,1,57,2008,4,1,24,1,1,1,1,1,1,1.0,1,0,2008-05-08,3,0,0,19,0.0,1,0.0,0,1,0,0,2,0,2,0.0,0
35,5,252,2008,4,1,24,2,5,3,4,2,1,0.6,2,0,2008-08-03,6,1,0,31,4.0,0,0.8,4,1,0,0,1,1,2,0.0,0
36,2,66,2008,4,1,29,1,1,1,1,1,2,0.0,1,1,2008-04-16,2,0,0,16,1.0,0,0.5,0,0,0,2,4,0,4,1.0,0
37,5,252,2008,4,1,29,3,5,3,2,2,1,0.8,2,1,2008-04-10,3,0,0,15,6.0,0,1.2,1,3,0,1,2,2,4,0.0,0
38,4,181,2008,4,1,29,2,4,3,4,1,1,0.5,2,1,2008-08-05,1,0,0,32,3.0,0,0.75,2,0,0,2,1,1,4,0.0,0
39,2,76,2008,4,1,41,2,2,2,1,1,1,0.5,2,0,2008-07-18,4,0,0,29,1.0,0,0.5,1,0,1,0,1,1,3,0.0,0
40,6,257,2008,4,1,9,2,6,4,4,2,1,0.16666666666666666,2,0,2008-05-23,4,0,0,21,6.0,0,1.0,4,2,0,0,1,4,1,0.0,0
41,2,61,2008,4,1,9,1,2,2,1,2,2,0.0,2,0,2008-04-13,6,1,0,15,1.0,0,0.5,2,0,0,0,1,0,1,0.0,0
42,1,43,2008,4,1,29,1,1,1,1,1,2,0.0,1,0,2008-04-10,3,0,0,15,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
43,20,1045,2008,4,1,9,1,11,6,5,2,1,0.75,2,0,2008-04-14,0,0,0,16,22.0,0,1.1,0,20,0,0,2,0,2,3.0,1
44,9,443,2008,4,1,9,3,9,5,5,2,1,0.6666666666666666,3,0,2008-05-23,4,0,0,21,10.0,0,1.1111111111111112,2,4,3,0,2,6,3,0.0,0
45,3,131,2008,4,1,12,1,3,3,3,2,1,0.3333333333333333,2,0,2008-06-16,0,0,0,25,2.0,0,0.6666666666666666,3,0,0,0,1,0,1,0.0,0
46,1,62,2008,4,1,9,1,1,1,1,1,1,1.0,1,0,2008-04-08,1,0,0,15,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
47,4,195,2008,4,1,29,2,4,4,3,1,1,0.75,2,1,2008-04-06,6,1,0,14,4.0,0,1.0,0,2,0,2,2,3,4,0.0,0
48,3,114,2008,4,1,29,2,3,2,2,2,1,0.6666666666666666,1,1,2008-04-25,4,0,0,17,2.0,0,0.6666666666666666,1,0,0,2,1,1,4,0.0,0
49,27,1218,2008,4,1,9,3,27,12,6,2,1,0.5185185185185185,4,0,2008-05-01,3,0,0,18,40.0,0,1.4814814814814814,12,4,11,0,1,19,1,0.0,1
50,4,195,2008,4,1,29,1,4,4,3,1,1,0.5,1,0,2008-04-21,0,0,0,17,3.0,0,0.75,0,4,0,0,2,0,2,0.0,0
51,4,234,2008,4,1,9,1,3,2,2,1,1,0.75,1,0,2008-04-27,6,1,0,17,3.0,0,0.75,4,0,0,0,1,0,1,1.0,0
52,9,385,2008,4,1,38,3,8,5,5,2,1,0.3333333333333333,1,1,2008-05-15,3,0,0,20,8.0,0,0.8888888888888888,2,5,0,2,2,5,1,1.0,0
53,2,71,2008,4,1,9,1,2,2,2,1,2,0.0,1,0,2008-07-04,4,0,0,27,2.0,0,1.0,2,0,0,0,1,0,1,0.0,0
54,3,119,2008,4,1,29,1,3,2,2,2,1,1.0,1,1,2008-06-24,1,0,0,26,2.0,0,0.6666666666666666,0,0,0,3,4,0,4,0.0,0
55,7,281,2008,4,1,29,2,6,4,4,2,1,0.7142857142857143,1,1,2008-05-11,6,1,0,19,7.0,0,1.0,0,0,4,3,4,5,3,1.0,0
56,7,277,2008,4,1,29,4,7,7,4,2,1,0.42857142857142855,2,1,2008-04-02,2,0,0,14,8.0,0,1.1428571428571428,3,2,1,1,1,4,2,0.0,0
57,3,99,2008,4,1,41,1,3,3,3,2,1,0.3333333333333333,2,1,2008-07-24,3,0,0,30,2.0,0,0.6666666666666666,0,0,0,3,4,0,4,0.0,0
58,4,176,2008,4,1,29,2,4,4,3,2,1,0.75,2,1,2008-06-29,6,1,0,26,5.0,0,1.25,2,0,0,2,1,3,4,0.0,0
59,1,55,2008,4,1,24,1,1,1,1,1,1,1.0,1,0,2008-06-25,2,0,0,26,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
60,6,285,2008,4,1,21,3,5,4,4,2,1,0.6666666666666666,1,0,2008-07-27,6,1,0,30,5.0,0,0.8333333333333334,2,3,1,0,1,3,1,1.0,0
61,4,195,2008,4,1,24,2,4,3,3,2,1,0.5,2,0,2008-07-01,1,0,0,27,5.0,0,1.25,1,3,0,0,2,1,1,0.0,0
63,4,147,2008,4,1,9,1,4,3,3,2,1,0.5,1,0,2008-07-08,1,0,0,28,3.0,0,0.75,0,0,4,0,3,0,3,0.0,0
64,13,735,2008,4,1,24,1,10,4,5,2,1,0.6923076923076923,2,0,2008-05-11,6,1,0,19,13.0,0,1.0,0,13,0,0,2,0,2,2.0,1
65,3,150,2008,4,1,24,1,3,2,2,1,1,0.6666666666666666,2,0,2008-04-06,6,1,0,14,2.0,0,0.6666666666666666,3,0,0,0,1,0,1,0.0,0
66,2,76,2008,4,1,24,2,2,2,2,2,2,0.0,1,0,2008-06-11,2,0,0,24,1.0,0,0.5,1,1,0,0,1,1,2,0.0,0
67,17,798,2008,4,1,24,3,17,10,6,2,1,0.47058823529411764,3,0,2008-04-14,0,0,0,16,20.0,0,1.1764705882352942,10,4,3,0,1,10,1,0.0,1
68,1,43,2008,4,1,24,1,1,1,1,1,2,0.0,1,0,2008-04-01,1,0,0,14,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
69,11,530,2008,4,1,24,3,11,7,4,2,1,0.7272727272727273,4,0,2008-07-08,1,0,0,28,11.0,0,1.0,2,2,7,0,2,5,3,0.0,0
70,3,152,2008,4,1,41,1,3,3,2,1,1,0.6666666666666666,1,0,2008-05-21,2,0,0,21,2.0,0,0.6666666666666666,0,3,0,0,2,0,2,0.0,0
71,1,33,2008,4,1,9,1,1,1,1,1,2,0.0,1,0,2008-06-13,4,0,0,24,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
72,1,48,2008,4,1,29,1,1,1,1,1,1,1.0,1,0,2008-07-09,2,0,0,28,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
73,1,38,2008,4,1,29,1,1,1,1,1,2,0.0,1,0,2008-07-11,4,0,0,28,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
74,6,228,2008,4,1,29,2,6,4,5,2,1,0.3333333333333333,3,1,2008-06-09,0,0,0,24,6.0,0,1.0,3,0,0,3,1,4,1,0.0,0
75,1,52,2008,4,1,29,1,1,1,1,1,1,1.0,1,0,2008-05-21,2,0,0,21,0.0,1,0.0,0,1,0,0,2,0,2,0.0,0
76,10,405,2008,4,1,29,3,9,6,5,2,1,0.6,5,1,2008-04-28,0,0,0,18,14.0,0,1.4,2,0,1,7,4,5,4,1.0,0
77,4,185,2008,4,1,29,1,4,4,4,2,1,0.5,1,0,2008-04-21,0,0,0,17,5.0,0,1.25,0,4,0,0,2,0,2,0.0,0
78,1,33,2008,4,1,9,1,1,1,1,1,2,0.0,1,0,2008-06-09,0,0,0,24,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
79,10,374,2008,4,1,29,2,10,4,5,2,1,0.3,2,1,2008-04-24,3,0,0,17,10.0,0,1.0,4,0,0,6,4,5,1,0.0,0
80,2,76,2008,4,1,29,2,2,2,1,1,1,0.5,1,1,2008-04-06,6,1,0,14,1.0,0,0.5,0,0,1,1,4,1,3,0.0,0
81,5,233,2008,4,1,29,1,4,4,3,2,1,0.4,1,0,2008-06-10,1,0,0,24,4.0,0,0.8,0,5,0,0,2,0,2,1.0,0
82,7,319,2008,4,1,29,4,7,6,5,2,1,0.7142857142857143,2,1,2008-04-10,3,0,0,15,8.0,0,1.1428571428571428,2,1,3,1,1,5,4,0.0,0
83,8,339,2008,4,1,29,2,7,6,4,2,1,0.875,1,1,2008-05-28,2,0,0,22,8.0,0,1.0,0,0,2,6,4,3,3,1.0,0
84,4,210,2008,4,1,9,2,4,4,3,1,1,0.75,2,0,2008-08-08,4,0,0,32,3.0,0,0.75,0,3,1,0,2,2,2,0.0,0
85,1,28,2008,4,1,24,1,1,1,1,1,2,0.0,1,0,2008-07-10,3,0,0,28,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
86,10,370,2008,4,1,24,3,10,5,5,2,1,0.2,3,0,2008-06-26,3,0,0,26,13.0,0,1.3,3,4,3,0,3,8,2,0.0,0
87,4,176,2008,4,1,41,2,4,2,4,2,1,0.5,1,1,2008-05-01,3,0,0,18,3.0,0,0.75,3,0,0,1,1,2,1,0.0,0
88,4,167,2008,4,1,29,2,4,3,3,1,1,0.75,1,1,2008-04-05,5,1,0,14,5.0,0,1.25,0,0,2,2,3,1,4,0.0,0
89,1,50,2008,4,1,29,1,1,1,1,1,1,1.0,1,0,2008-07-04,4,0,0,27,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
90,1,38,2008,4,1,29,1,1,1,1,1,1,1.0,1,1,2008-07-20,6,1,0,29,0.0,0,0.0,0,0,0,1,4,0,4,0.0,0
91,4,191,2008,4,1,29,3,4,2,3,2,1,0.75,1,1,2008-07-08,1,0,0,28,3.0,0,0.75,0,1,2,1,3,3,3,0.0,0
92,1,38,2008,4,1,24,1,1,1,1,1,2,0.0,1,0,2008-06-24,1,0,0,26,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
94,9,400,2008,4,1,29,3,9,4,4,2,1,0.6666666666666666,4,1,2008-04-18,4,0,0,16,12.0,0,1.3333333333333333,3,2,0,4,4,6,1,0.0,0
95,2,96,2008,4,1,9,1,2,2,2,2,1,1.0,1,0,2008-05-14,2,0,0,20,1.0,0,0.5,0,0,2,0,3,0,3,0.0,0
96,5,242,2008,4,1,9,3,5,4,3,2,1,0.6,3,0,2008-04-24,3,0,0,17,4.0,0,0.8,1,3,1,0,2,3,2,0.0,0
97,1,43,2008,4,1,21,1,1,1,1,1,1,1.0,1,1,2008-07-08,1,0,0,28,0.0,0,0.0,0,0,0,1,4,0,4,0.0,0
98,1,28,2008,4,1,21,1,1,1,1,1,2,0.0,1,0,2008-07-10,3,0,0,28,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
99,9,419,2008,4,1,29,2,8,4,5,2,1,0.6666666666666666,2,1,2008-04-10,3,0,0,15,8.0,0,0.8888888888888888,0,6,0,3,2,4,2,1.0,0
100,10,375,2008,4,1,29,3,10,7,5,1,1,0.3,1,1,2008-07-10,3,0,0,28,10.0,0,1.0,3,0,4,3,1,6,3,0.0,0
101,1,57,2008,4,1,29,1,1,1,1,1,1,1.0,1,0,2008-04-20,6,1,0,16,0.0,1,0.0,0,1,0,0,2,0,2,0.0,0
102,4,167,2008,4,1,29,3,3,3,2,1,1,0.5,1,1,2008-06-30,0,0,0,27,3.0,0,0.75,1,0,2,1,3,3,4,1.0,0
103,3,114,2008,4,1,9,1,2,2,1,1,2,0.0,1,0,2008-06-09,0,0,0,24,2.0,0,0.6666666666666666,3,0,0,0,1,0,1,1.0,0
104,3,181,2008,4,1,29,1,3,2,3,1,1,1.0,1,0,2008-04-22,1,0,0,17,2.0,0,0.6666666666666666,0,3,0,0,2,0,2,0.0,0
105,1,67,2008,4,1,29,1,1,1,1,1,1,1.0,1,0,2008-05-07,2,0,0,19,0.0,1,0.0,0,1,0,0,2,0,2,0.0,0
106,2,103,2008,4,1,29,1,2,2,2,1,1,1.0,1,1,2008-07-29,1,0,0,31,1.0,0,0.5,0,0,0,2,4,0,4,0.0,0
107,20,743,2008,4,1,29,4,18,9,6,2,1,0.4,4,1,2008-07-15,1,0,0,29,25.0,0,1.25,4,2,2,12,4,11,4,2.0,1
108,2,76,2008,4,1,29,1,2,2,2,2,1,1.0,1,1,2008-04-15,1,0,0,16,3.0,0,1.5,0,0,0,2,4,0,4,0.0,0
109,3,143,2008,4,1,29,2,3,2,2,2,1,0.3333333333333333,2,0,2008-05-22,3,0,0,21,4.0,0,1.3333333333333333,2,1,0,0,1,2,1,0.0,0
110,4,162,2008,4,1,29,1,4,3,4,1,1,0.75,4,1,2008-04-01,1,0,0,14,5.0,0,1.25,0,0,0,4,4,0,4,0.0,0
111,1,62,2008,4,1,29,1,1,1,1,1,1,1.0,1,0,2008-04-16,2,0,0,16,0.0,1,0.0,0,1,0,0,2,0,2,0.0,0
112,6,266,2008,4,1,29,3,6,5,3,2,1,0.3333333333333333,2,1,2008-07-21,0,0,0,30,7.0,0,1.1666666666666667,1,4,0,1,2,4,2,0.0,0
113,7,343,2008,4,1,24,3,6,5,4,2,1,0.7142857142857143,2,0,2008-07-09,2,0,0,28,8.0,0,1.1428571428571428,1,4,2,0,3,5,2,1.0,0
114,2,76,2008,4,1,24,1,2,2,2,1,1,0.5,2,0,2008-08-06,2,0,0,32,2.0,0,1.0,2,0,0,0,1,0,1,0.0,0
115,2,71,2008,4,1,9,2,2,2,2,2,2,0.0,2,0,2008-08-04,0,0,0,32,1.0,0,0.5,1,0,1,0,3,1,1,0.0,0
116,2,100,2008,4,1,9,1,2,2,2,1,1,0.5,2,0,2008-05-25,6,1,0,21,1.0,0,0.5,2,0,0,0,1,0,1,0.0,0
118,1,38,2008,4,1,29,1,1,1,1,1,2,0.0,1,0,2008-04-04,4,0,0,14,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
119,8,376,2008,4,1,9,3,8,3,5,2,1,0.5,2,0,2008-06-21,5,1,0,25,9.0,0,1.125,5,1,2,0,1,5,1,0.0,0
120,6,323,2008,4,1,9,2,5,4,3,2,1,0.8333333333333334,2,0,2008-04-02,2,0,0,14,6.0,0,1.0,2,4,0,0,2,1,1,1.0,0
121,8,294,2008,4,1,29,3,6,6,4,2,2,0.0,2,0,2008-08-01,4,0,0,31,7.0,0,0.875,4,2,2,0,1,7,1,2.0,0
122,3,119,2008,4,1,29,2,3,1,3,1,1,0.3333333333333333,1,1,2008-05-19,0,0,0,21,2.0,0,0.6666666666666666,2,0,0,1,1,2,1,0.0,0
123,7,251,2008,4,1,29,2,7,6,4,2,1,0.5714285714285714,2,1,2008-08-09,5,1,0,32,7.0,0,1.0,0,0,2,5,3,3,4,0.0,0
124,7,308,2008,4,1,29,4,7,5,4,2,1,0.42857142857142855,3,1,2008-06-11,2,0,0,24,6.0,0,0.8571428571428571,3,1,1,2,1,6,4,0.0,0
125,34,1574,2008,4,1,29,4,33,11,6,2,1,0.4117647058823529,3,1,2008-06-03,1,0,0,23,36.0,0,1.0588235294117647,12,19,2,1,1,17,2,1.0,1
126,2,76,2008,4,1,29,1,2,2,2,1,1,0.5,1,0,2008-08-04,0,0,0,32,1.0,0,0.5,0,0,2,0,3,0,3,0.0,0
127,5,202,2008,4,1,29,2,4,4,3,2,1,0.4,2,0,2008-05-28,2,0,0,22,4.0,0,0.8,3,0,2,0,1,1,3,1.0,0
128,1,28,2008,4,1,29,1,1,1,1,1,2,0.0,1,0,2008-04-27,6,1,0,17,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
130,4,157,2008,4,1,29,1,4,3,3,2,1,0.75,3,1,2008-04-28,0,0,0,18,4.0,0,1.0,0,0,0,4,4,0,4,0.0,0
131,2,81,2008,4,1,29,1,2,2,1,1,1,0.5,1,0,2008-05-15,3,0,0,20,1.0,0,0.5,0,0,2,0,3,0,3,0.0,0
132,5,242,2008,4,1,29,3,5,3,3,2,1,0.6,1,0,2008-06-02,0,0,0,23,8.0,0,1.6,2,1,2,0,1,3,3,0.0,0
133,4,224,2008,4,1,29,1,4,4,4,2,1,0.75,1,0,2008-04-10,3,0,0,15,3.0,0,0.75,0,4,0,0,2,0,2,0.0,0
134,1,43,2008,4,1,29,1,1,1,1,1,2,0.0,1,0,2008-07-02,2,0,0,27,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
135,4,147,2008,4,1,29,2,4,4,2,2,1,0.5,2,1,2008-07-20,6,1,0,29,3.0,0,0.75,0,0,1,3,4,2,4,0.0,0
136,1,62,2008,4,1,29,1,1,1,1,1,1,1.0,1,0,2008-06-26,3,0,0,26,0.0,1,0.0,1,0,0,0,1,0,1,0.0,0
137,3,124,2008,4,1,29,1,3,1,3,1,2,0.0,1,0,2008-07-02,2,0,0,27,2.0,0,0.6666666666666666,3,0,0,0,1,0,1,0.0,0
138,12,561,2008,4,1,29,2,8,3,4,2,1,0.5833333333333334,4,1,2008-07-27,6,1,0,30,13.0,0,1.0833333333333333,9,0,0,3,1,6,1,3.0,0
139,6,310,2008,4,1,29,3,5,4,3,2,1,1.0,1,1,2008-04-03,3,0,0,14,5.0,0,0.8333333333333334,2,1,0,3,4,2,1,1.0,0
140,2,71,2008,4,1,29,2,2,2,2,1,2,0.0,1,1,2008-06-03,1,0,0,23,2.0,0,1.0,1,0,0,1,4,1,1,0.0,0
141,4,137,2008,4,1,29,2,4,4,4,2,1,0.25,1,0,2008-07-18,4,0,0,29,3.0,0,0.75,2,0,2,0,1,3,3,0.0,0
142,1,28,2008,4,1,29,1,1,1,1,1,2,0.0,1,1,2008-07-24,3,0,0,30,0.0,0,0.0,0,0,0,1,4,0,4,0.0,0
143,4,181,2008,4,1,29,2,4,4,4,2,1,0.75,3,1,2008-07-03,3,0,0,27,3.0,0,0.75,0,0,2,2,4,1,3,0.0,0
144,2,76,2008,4,1,29,1,2,2,2,2,1,1.0,2,1,2008-06-19,3,0,0,25,1.0,0,0.5,0,0,0,2,4,0,4,0.0,0
145,3,184,2008,4,1,29,2,3,2,3,1,1,1.0,2,0,2008-05-05,0,0,0,19,3.0,0,1.0,2,0,1,0,3,1,1,0.0,0
146,12,592,2008,4,1,29,3,8,6,4,2,1,0.6666666666666666,2,0,2008-04-02,2,0,0,14,17.0,0,1.4166666666666667,6,2,4,0,2,8,3,4.0,1
147,1,38,2008,4,1,29,1,1,1,1,1,1,1.0,1,1,2008-05-15,3,0,0,20,0.0,0,0.0,0,0,0,1,4,0,4,0.0,0
148,5,248,2008,4,1,29,1,5,2,3,1,1,0.4,2,0,2008-07-01,1,0,0,27,5.0,0,1.0,0,5,0,0,2,0,2,0.0,0
149,4,162,2008,4,1,29,2,4,2,3,2,1,0.5,1,1,2008-04-17,3,0,0,16,3.0,0,0.75,2,0,0,2,1,2,1,0.0,0
151,1,23,2008,4,1,29,1,1,1,1,1,2,0.0,1,0,2008-05-17,5,1,0,20,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
152,4,162,2008,4,1,29,2,4,3,3,2,1,0.75,1,1,2008-07-03,3,0,0,27,3.0,0,0.75,0,0,2,2,3,2,3,0.0,0
153,6,224,2008,4,1,29,4,5,4,4,2,1,0.16666666666666666,3,1,2008-05-17,5,1,0,20,5.0,0,0.8333333333333334,1,1,3,1,3,4,3,1.0,0
154,3,162,2008,4,1,29,2,3,2,2,1,1,0.6666666666666666,2,0,2008-06-13,4,0,0,24,2.0,0,0.6666666666666666,1,2,0,0,1,1,2,0.0,0
155,2,95,2008,4,1,29,1,2,2,1,1,1,0.5,1,0,2008-06-16,0,0,0,25,1.0,0,0.5,2,0,0,0,1,0,1,0.0,0
157,22,887,2008,4,1,29,4,21,9,6,2,1,0.5454545454545454,4,1,2008-07-30,2,0,0,31,31.0,0,1.4090909090909092,1,5,7,9,4,17,4,1.0,1
158,1,38,2008,4,1,29,1,1,1,1,1,2,0.0,1,0,2008-07-24,3,0,0,30,0.0,1,0.0,0,1,0,0,2,0,2,0.0,0
159,2,95,2008,4,1,29,2,2,2,2,1,1,0.5,2,1,2008-05-11,6,1,0,19,1.0,0,0.5,1,0,0,1,1,1,4,0.0,0
160,3,129,2008,4,1,29,1,3,2,3,2,1,1.0,3,1,2008-05-19,0,0,0,21,2.0,0,0.6666666666666666,0,0,0,3,4,0,4,0.0,0
161,1,33,2008,4,1,29,1,1,1,1,1,2,0.0,1,0,2008-04-17,3,0,0,16,0.0,1,0.0,0,0,1,0,3,0,3,0.0,0
162,4,127,2008,4,1,29,1,3,2,2,2,2,0.0,2,0,2008-07-18,4,0,0,29,3.0,0,0.75,0,0,4,0,3,0,3,1.0,0
163,3,109,2008,4,1,29,1,3,3,2,1,1,0.3333333333333333,1,0,2008-07-10,3,0,0,28,2.0,0,0.6666666666666666,0,0,3,0,3,0,3,0.0,0
164,2,71,2008,4,1,29,1,2,2,2,2,2,0.0,2,0,2008-05-06,1,0,0,19,1.0,0,0.5,2,0,0,0,1,0,1,0.0,0
165,4,199,2008,4,1,29,2,4,4,3,1,1,0.75,2,0,2008-05-10,5,1,0,19,5.0,0,1.25,0,3,1,0,3,1,2,0.0,0
166,1,38,2008,4,1,29,1,1,1,1,1,2,0.0,1,0,2008-04-22,1,0,0,17,0.0,1,0.0,0,1,0,0,2,0,2,0.0,0
167,3,124,2008,4,1,44,1,3,3,3,2,1,0.6666666666666666,1,0,2008-07-29,1,0,0,31,4.0,0,1.3333333333333333,0,0,3,0,3,0,3,0.0,0
168,33,1426,2008,4,1,34,2,25,8,6,2,1,0.7272727272727273,4,1,2008-06-27,4,0,0,26,44.0,0,1.3333333333333333,0,0,24,9,4,13,3,5.0,1
169,1,67,2008,4,1,29,1,1,1,1,1,1,1.0,1,0,2008-07-15,1,0,0,29,0.0,1,0.0,0,1,0,0,2,0,2,0.0,0
170,8,385,2008,4,1,29,2,8,4,4,2,1,0.5,2,0,2008-07-24,3,0,0,30,10.0,0,1.25,4,4,0,0,2,4,2,0.0,0
